name,state,orig_county,established,discontinued,continuous,stamp_index,duration,latitude,longitude,state_full_name
LUCERNE,MT,Liberty,1914.0,1918.0,True,5.0,4.0,48.7625,-110.9208,Montana
LUCERNE,WY,Hot Springs,1910.0,1956.0,True,1.0,46.0,43.73496,-108.1765,Wyoming
LUCY,NM,Torrance,1914.0,1942.0,True,2.0,28.0,34.65201,-105.837,New Mexico
LUDLOW,CA,San Bernardino,1926.0,1974.0,True,1.0,48.0,34.7211,-116.16,California
LUDWIG,NV,Lyon,1911.0,1932.0,True,4.0,21.0,38.95547,-119.279,Nevada
LUGO,CA,San Bernardino,1917.0,1924.0,True,5.0,7.0,34.36722,-117.3423,California
LUKACHUKAI,AZ,Apache,1916.0,1973.0,True,1.0,57.0,36.41318,-109.2513,Arizona
LULU,NE,Sheridan,1913.0,1914.0,True,6.0,1.0,42.3083,-102.5616,Nebraska
LUNDVILLE,MT,Roosevelt,1921.0,1930.0,True,3.0,9.0,48.51613,-105.1541,Montana
LUPFER,MT,Flathead,1917.0,1934.0,False,3.0,17.0,48.48358,-114.5113,Montana
LUPTON,AZ,Apache,1917.0,1966.0,True,1.0,49.0,35.35391,-109.0537,Arizona
LURLINE,NV,Elko,1915.0,1919.0,True,7.0,4.0,40.71631,-115.2064,Nevada
LUSTRE,MT,Valley,1917.0,1959.0,True,1.0,42.0,48.40725,-105.8939,Montana
LUXELLO,TX,Bexar,1915.0,1935.0,True,2.0,20.0,29.60162,-98.31418,Texas
LYCAN,CO,Baca,1913.0,1975.0,True,1.0,62.0,37.55751,-102.1288,Colorado
LYMAN,OK,Osage,1924.0,1956.0,True,1.0,32.0,36.84031,-96.74336,Oklahoma
LYMAN,OR,Wallowa,1910.0,1911.0,True,7.0,1.0,45.89292,-117.4468,Oregon
LYNN,NE,Morrill,1910.0,1923.0,True,3.0,13.0,41.80136,-102.9763,Nebraska
LYOTH,CA,San Joaquin,1912.0,1938.0,True,2.0,26.0,37.71576,-121.3816,California
MABANA,WA,Island,1912.0,1936.0,True,2.0,24.0,48.09454,-122.4151,Washington
MACALL,WA,Adams,1915.0,1939.0,True,2.0,24.0,47.06071,-118.0144,Washington
MACEDONIA,TX,Liberty,1915.0,1922.0,True,3.0,7.0,30.26271,-94.88993,Texas
MACGRATH,TX,Tom Green,1910.0,1910.0,True,6.0,0.0,31.34961,-100.6434,Texas
MACGREGOR,ID,Valley,1936.0,1940.0,True,4.0,4.0,44.69184,-116.0799,Idaho
MACHOVEC,TX,Moore,1948.0,1953.0,True,1.0,5.0,35.94393,-101.9868,Texas
MACKENZIE,MT,Fallon,1912.0,1943.0,True,2.0,31.0,46.15722,-104.7133,Montana
